taxonomy_code,keyword,priority,active
"LU.A.1.e","sewa traktor","4","true"
"LU.A.1.e","penangkaran benih","5","true"
"LU.A.2","kehutanan","1","true"
"LU.A.2","hasil hutan","2","true"
"LU.A.2","penebangan kayu","3","true"
"LU.A.2","produksi kayu","4","true"
"LU.A.2","rehabilitasi hutan","5","true"
"LU.A.3","perikanan","1","true"
"LU.A.3","nelayan","2","true"
"LU.A.3","hasil tangkapan ikan","3","true"
"LU.A.3","budidaya ikan","4","true"
"LU.A.3","tambak udang","5","true"
"LU.A.3","produksi ikan","6","true"
"LU.B","produksi migas","1","true"
"LU.B","batubara","2","true"
"LU.B","bijih logam","3","true"
"LU.B","galian pasir","4","true"
"LU.B","pertambangan","5","true"
"LU.B","usaha penggalian","6","true"
"LU.B.1","produksi migas","1","true"
"LU.B.1","minyak bumi","2","true"
"LU.B.1","gas bumi","3","true"
"LU.B.1","panas bumi","4","true"
"LU.B.2","batubara","1","true"
"LU.B.2","tambang batubara","2","true"
"LU.B.2","produksi batubara","3","true"
"LU.B.2","lignit","4","true"
"LU.B.3","bijih logam","1","true"
"LU.B.3","tambang emas","2","true"
"LU.B.3","tambang bijih","3","true"
"LU.B.3","produksi logam","4","true"
"LU.B.4","galian pasir","1","true"
"LU.B.4","tambang batu","2","true"
"LU.B.4","batu kapur","3","true"
"LU.B.4","usaha penggalian","4","true"
"LU.C","kilang minyak","1","true"
"LU.C","industri makanan","2","true"
"LU.C","industri rokok","3","true"
"LU.C","industri tekstil","4","true"
"LU.C","industri kulit","5","true"
"LU.C","industri kayu","6","true"
"LU.C","percetakan","7","true"
"LU.C","industri farmasi","8","true"
"LU.C","industri plastik","9","true"
"LU.C","industri keramik","10","true"
"LU.C","industri logam dasar","11","true"
"LU.C","industri elektronik","12","true"
"LU.C","industri mesin","13","true"
"LU.C","industri kendaraan","14","true"
"LU.C","industri furnitur","15","true"
"LU.C","reparasi mesin","16","true"
"LU.C.1","kilang minyak","1","true"
"LU.C.1","pengilangan migas","2","true"
"LU.C.1","produk kilang","3","true"
"LU.C.2","industri makanan","1","true"
"LU.C.2","industri minuman","2","true"
"LU.C.2","pabrik makanan","3","true"
"LU.C.2","produk olahan","4","true"
"LU.C.2","UMKM makanan","5","true"
"LU.C.3","industri rokok","1","true"
"LU.C.3","tembakau rajang","2","true"
"LU.C.3","oven tembakau","3","true"
"LU.C.3","pabrik rokok","4","true"
"LU.C.4","industri tekstil","1","true"
"LU.C.4","konveksi","2","true"
"LU.C.4","tenun","3","true"
"LU.C.4","pabrik pakaian","4","true"
"LU.C.4","produksi garmen","5","true"
"LU.C.5","industri kulit","1","true"
"LU.C.5","alas kaki","2","true"
"LU.C.5","kerajinan kulit","3","true"
"LU.C.5","pabrik sepatu","4","true"
"LU.C.6","industri kayu","1","true"
"LU.C.6","anyaman ketak","2","true"
"LU.C.6","kerajinan rotan","3","true"
"LU.C.6","kerajinan bambu","4","true"
"LU.C.6","penggergajian kayu","5","true"
"LU.C.7","percetakan","1","true"
"LU.C.7","industri kertas","2","true"
"LU.C.7","penerbitan buku","3","true"
"LU.C.7","kemasan karton","4","true"
"LU.C.8","industri farmasi","1","true"
"LU.C.8","obat tradisional","2","true"
"LU.C.8","produksi obat","3","true"
"LU.C.8","industri kimia","4","true"
"LU.C.8","produksi pupuk","5","true"
"LU.C.9","industri plastik","1","true"
"LU.C.9","industri karet","2","true"
"LU.C.9","produk plastik","3","true"
"LU.C.9","produk karet","4","true"
"LU.C.10","industri keramik","1","true"
"LU.C.10","industri semen","2","true"
"LU.C.10","produksi bata","3","true"
"LU.C.10","beton pracetak","4","true"
"LU.C.11","industri logam dasar","1","true"
"LU.C.11","pabrik baja","2","true"
"LU.C.11","peleburan logam","3","true"
"LU.C.11","produksi aluminium","4","true"
"LU.C.12","industri elektronik","1","true"
"LU.C.12","barang logam","2","true"
"LU.C.12","peralatan listrik","3","true"
"LU.C.12","produksi komputer","4","true"
"LU.C.13","industri mesin","1","true"
"LU.C.13","pabrik mesin","2","true"
"LU.C.13","mesin produksi","3","true"
"LU.C.14","industri kendaraan","1","true"
"LU.C.14","alat angkutan","2","true"
"LU.C.14","perakitan kendaraan","3","true"
"LU.C.14","karoseri","4","true"
"LU.C.15","industri furnitur","1","true"
"LU.C.15","produksi mebel","2","true"
"LU.C.15","kerajinan furnitur","3","true"
"LU.C.16","reparasi mesin","1","true"
"LU.C.16","pemasangan mesin","2","true"
"LU.C.16","industri pengolahan lainnya","3","true"
"LU.C.16","perakitan mesin","4","true"
"LU.D","pembangkit listrik","1","true"
"LU.D","pengadaan gas","2","true"
"LU.D","produksi listrik","3","true"
"LU.D","jaringan gas","4","true"
"LU.D.1","pembangkit listrik","1","true"
"LU.D.1","produksi listrik","2","true"
"LU.D.1","jaringan listrik","3","true"
"LU.D.1","PLN","4","true"
"LU.D.1","elektrifikasi","5","true"
"LU.D.2","pengadaan gas","1","true"
"LU.D.2","jaringan gas","2","true"
"LU.D.2","gas kota","3","true"
"LU.D.2","produksi es","4","true"
"LU.D.2","pabrik es","5","true"
"LU.E","air bersih","1","true"
"LU.E","PDAM","2","true"
"LU.E","pengelolaan sampah","3","true"
"LU.E","pengolahan limbah","4","true"
"LU.E","daur ulang","5","true"
"LU.E","layanan air","6","true"
"LU.F","pembangunan jalan","1","true"
"LU.F","pembangunan gedung","2","true"
"LU.F","pembangunan perumahan","3","true"
"LU.F","proyek konstruksi","4","true"
"LU.F","pembangunan infrastruktur","5","true"
"LU.F","renovasi gedung","6","true"
"LU.F","aspal jalan","7","true"
"LU.G","penjualan mobil","1","true"
"LU.G","perdagangan eceran","2","true"
"LU.G","pasar rakyat","3","true"
"LU.G","harga pangan","4","true"
"LU.G","distribusi barang","5","true"
"LU.G.1","penjualan mobil","1","true"
"LU.G.1","penjualan motor","2","true"
"LU.G.1","dealer kendaraan","3","true"
"LU.G.1","bengkel kendaraan","4","true"
"LU.G.1","suku cadang","5","true"
"LU.G.2","perdagangan eceran","1","true"
"LU.G.2","perdagangan besar","2","true"
"LU.G.2","pasar rakyat","3","true"
"LU.G.2","harga pangan","4","true"
"LU.G.2","penjualan ritel","5","true"
"LU.G.2","pedagang kaki lima","6","true"
"LU.G.2","distribusi barang","7","true"
"LU.H","kereta api","1","true"
"LU.H","angkutan darat","2","true"
"LU.H","angkutan laut","3","true"
"LU.H","kapal feri","4","true"
"LU.H","penerbangan","5","true"
"LU.H","jasa pergudangan","6","true"
"LU.H","logistik","7","true"
"LU.H.1","kereta api","1","true"
"LU.H.1","angkutan rel","2","true"
"LU.H.1","stasiun kereta","3","true"
"LU.H.2","angkutan darat","1","true"
"LU.H.2","transportasi bus","2","true"
"LU.H.2","terminal bus","3","true"
"LU.H.2","ojek","4","true"
"LU.H.2","angkutan barang","5","true"
"LU.H.3","angkutan laut","1","true"
"LU.H.3","transportasi laut","2","true"
"LU.H.3","pelabuhan laut","3","true"
"LU.H.3","pelayaran","4","true"
"LU.H.4","kapal feri","1","true"
"LU.H.4","angkutan penyeberangan","2","true"
"LU.H.4","pelabuhan penyeberangan","3","true"
"LU.H.4","lintasan penyeberangan","4","true"
"LU.H.5","penerbangan","1","true"
"LU.H.5","angkutan udara","2","true"
"LU.H.5","bandara","3","true"
"LU.H.5","penumpang pesawat","4","true"
"LU.H.6","jasa pergudangan","1","true"
"LU.H.6","jasa kurir","2","true"
"LU.H.6","pengiriman barang","3","true"
"LU.H.6","logistik","4","true"
"LU.H.6","bongkar muat","5","true"
"LU.I","hotel","1","true"
"LU.I","restoran","2","true"
"LU.I","tingkat hunian","3","true"
"LU.I","rumah makan","4","true"
"LU.I","penginapan","5","true"
"LU.I","kuliner","6","true"
"LU.I.1","hotel","1","true"
"LU.I.1","tingkat hunian","2","true"
"LU.I.1","penginapan","3","true"
"LU.I.1","resort","4","true"
"LU.I.1","villa","5","true"
"LU.I.1","wisatawan","6","true"
"LU.I.2","restoran","1","true"
"LU.I.2","rumah makan","2","true"
"LU.I.2","MBG","3","true"
"LU.I.2","katering","4","true"
"LU.I.2","usaha kuliner","5","true"
"LU.I.2","dapur SPPG","6","true"
"LU.J","internet","1","true"
"LU.J","sinyal telekomunikasi","2","true"
"LU.J","BTS","3","true"
"LU.J","digitalisasi","4","true"
"LU.J","layanan telekomunikasi","5","true"
"LU.J","e-commerce","6","true"
"LU.J","startup","7","true"
"LU.K","kredit perbankan","1","true"
"LU.K","premi asuransi","2","true"
"LU.K","perusahaan pembiayaan","3","true"
"LU.K","jasa penunjang keuangan","4","true"
"LU.K","koperasi","5","true"
"LU.K","investasi","6","true"
"LU.K.1","kredit perbankan","1","true"
"LU.K.1","penyaluran kredit","2","true"
"LU.K.1","bank","3","true"
"LU.K.1","BPR","4","true"
"LU.K.1","koperasi","5","true"
"LU.K.1","pinjaman usaha","6","true"
"LU.K.2","premi asuransi","1","true"
"LU.K.2","dana pensiun","2","true"
"LU.K.2","klaim asuransi","3","true"
"LU.K.2","BPJS ketenagakerjaan","4","true"
"LU.K.3","perusahaan pembiayaan","1","true"
"LU.K.3","fintech lending","2","true"
"LU.K.3","pegadaian","3","true"
"LU.K.3","leasing","4","true"
"LU.K.3","pasar modal","5","true"
"LU.K.4","jasa penunjang keuangan","1","true"
"LU.K.4","pialang efek","2","true"
"LU.K.4","penjaminan kredit","3","true"
"LU.K.4","bursa efek","4","true"
"LU.L","penjualan properti","1","true"
"LU.L","perumahan baru","2","true"
"LU.L","sewa properti","3","true"
"LU.L","pengembang properti","4","true"
"LU.L","real estat","5","true"
"LU.M,N","jasa konsultasi bisnis","1","true"
"LU.M,N","jasa arsitek","2","true"
"LU.M,N","notaris","3","true"
"LU.M,N","pengacara","4","true"
"LU.M,N","biro perjalanan","5","true"
"LU.M,N","persewaan alat usaha","6","true"
"LU.O","belanja pemerintah daerah","1","true"
"LU.O","layanan pemerintahan","2","true"
"LU.O","gaji ASN","3","true"
"LU.O","jaminan sosial wajib","4","true"
"LU.O","APBD","5","true"
"LU.O","administrasi pemerintahan","6","true"
"LU.P","jumlah siswa","1","true"
"LU.P","jumlah guru","2","true"
"LU.P","guru PPPK","3","true"
"LU.P","UKT","4","true"
"LU.P","sekolah","5","true"
"LU.P","perguruan tinggi","6","true"
"LU.P","layanan pendidikan","7","true"
"LU.Q","rumah sakit","1","true"
"LU.Q","puskesmas","2","true"
"LU.Q","klinik","3","true"
"LU.Q","jumlah pasien","4","true"
"LU.Q","tenaga kesehatan","5","true"
"LU.Q","layanan kesehatan","6","true"
"LU.Q","stunting","7","true"
"LU.R,S,T,U","event","1","true"
"LU.R,S,T,U","konser","2","true"
"LU.R,S,T,U","hiburan","3","true"
"LU.R,S,T,U","jasa perorangan","4","true"
"LU.R,S,T,U","kegiatan rekreasi","5","true"
"LU.R,S,T,U","festival budaya","6","true"
"EXP.1","belanja bahan makanan","1","true"
"EXP.1","belanja pakaian","2","true"
"EXP.1","biaya sewa rumah","3","true"
"EXP.1","biaya kesehatan dan pendidikan","4","true"
"EXP.1","pengeluaran transportasi","5","true"
"EXP.1","belanja restoran dan hotel","6","true"
"EXP.1","pengeluaran rekreasi","7","true"
"EXP.1.a","belanja bahan makanan","1","true"
"EXP.1.a","konsumsi pangan","2","true"
"EXP.1.a","harga bahan pangan","3","true"
"EXP.1.a","sembako","4","true"
"EXP.1.a","daya beli pangan","5","true"
"EXP.1.b","belanja pakaian","1","true"
"EXP.1.b","pengeluaran alas kaki","2","true"
"EXP.1.b","harga pakaian","3","true"
"EXP.1.b","seragam sekolah","4","true"
"EXP.1.c","biaya sewa rumah","1","true"
"EXP.1.c","belanja perabot rumah tangga","2","true"
"EXP.1.c","biaya listrik rumah tangga","3","true"
"EXP.1.c","perlengkapan rumah tangga","4","true"
"EXP.1.c","tarif air rumah tangga","5","true"
"EXP.1.d","biaya kesehatan dan pendidikan","1","true"
"EXP.1.d","pengeluaran pendidikan","2","true"
"EXP.1.d","pengeluaran kesehatan","3","true"
"EXP.1.d","biaya sekolah","4","true"
"EXP.1.d","biaya berobat","5","true"
"EXP.1.e","pengeluaran transportasi","1","true"
"EXP.1.e","biaya komunikasi rumah tangga","2","true"
"EXP.1.e","belanja pulsa","3","true"
"EXP.1.e","ongkos angkutan","4","true"
"EXP.1.e","tarif internet","5","true"
"EXP.1.f","belanja restoran dan hotel","1","true"
"EXP.1.f","pengeluaran hotel","2","true"
"EXP.1.f","pengeluaran restoran","3","true"
"EXP.1.f","biaya penginapan","4","true"
"EXP.1.g","pengeluaran rekreasi","1","true"
"EXP.1.g","jasa perorangan","2","true"
"EXP.1.g","belanja kosmetik","3","true"
"EXP.1.g","belanja hiburan","4","true"
"EXP.2","konsumsi LNPRT","1","true"
"EXP.2","belanja organisasi nirlaba","2","true"
"EXP.2","pengeluaran lembaga nonprofit","3","true"
"EXP.2","donasi masyarakat","4","true"
"EXP.3","konsumsi kolektif pemerintah","1","true"
"EXP.3","konsumsi individu pemerintah","2","true"
"EXP.3","belanja barang dan jasa pemerintah","3","true"
"EXP.3","konsumsi pemerintah","4","true"
"EXP.3.a","konsumsi kolektif pemerintah","1","true"
"EXP.3.a","layanan publik kolektif","2","true"
"EXP.3.a","belanja infrastruktur publik","3","true"
"EXP.3.b","konsumsi individu pemerintah","1","true"
"EXP.3.b","layanan individu pemerintah","2","true"
"EXP.3.b","bantuan sosial pemerintah","3","true"
"EXP.3.b","beasiswa pemerintah","4","true"
"EXP.4","investasi bangunan","1","true"
"EXP.4","investasi mesin","2","true"
"EXP.4","investasi kendaraan","3","true"
"EXP.4","investasi peralatan","4","true"
"EXP.4","ternak pembiakan","5","true"
"EXP.4","investasi perangkat lunak","6","true"
"EXP.4","realisasi investasi","7","true"
"EXP.4.a","investasi bangunan","1","true"
"EXP.4.a","proyek gedung baru","2","true"
"EXP.4.a","pembangunan hotel baru","3","true"
"EXP.4.a","investasi konstruksi","4","true"
"EXP.4.b","investasi mesin","1","true"
"EXP.4.b","pembelian mesin produksi","2","true"
"EXP.4.b","alat berat baru","3","true"
"EXP.4.b","perlengkapan produksi","4","true"
"EXP.4.c","investasi kendaraan","1","true"
"EXP.4.c","pembelian kendaraan operasional","2","true"
"EXP.4.c","armada usaha baru","3","true"
"EXP.4.d","investasi peralatan","1","true"
"EXP.4.d","pembelian peralatan usaha","2","true"
"EXP.4.d","peralatan kantor baru","3","true"
"EXP.4.e","ternak pembiakan","1","true"
"EXP.4.e","tanaman menghasilkan","2","true"
"EXP.4.e","ternak produktif","3","true"
"EXP.4.e","tanaman tahunan produktif","4","true"
"EXP.4.f","investasi perangkat lunak","1","true"
"EXP.4.f","produk kekayaan intelektual","2","true"
"EXP.4.f","riset dan pengembangan","3","true"
"EXP.4.f","hak cipta","4","true"
"EXP.4.f","paten","5","true"
"EXP.5","perubahan inventori","1","true"
"EXP.5","stok barang","2","true"
"EXP.5","persediaan gudang","3","true"
"EXP.5","penumpukan persediaan","4","true"
"EXP.5","cadangan beras","5","true"
"EXP.6","ekspor barang","1","true"
"EXP.6","ekspor jasa","2","true"
"EXP.6","nilai ekspor","3","true"
"EXP.6","penjualan ke luar negeri","4","true"
"EXP.6.a","ekspor nonmigas","1","true"
"EXP.6.a","ekspor migas","2","true"
"EXP.6.a","ekspor barang","3","true"
"EXP.6.a","komoditas ekspor","4","true"
"EXP.6.a.1","ekspor nonmigas","1","true"
"EXP.6.a.1","komoditas nonmigas","2","true"
"EXP.6.a.1","ekspor pertanian","3","true"
"EXP.6.a.1","ekspor kerajinan","4","true"
"EXP.6.a.2","ekspor migas","1","true"
"EXP.6.a.2","ekspor minyak dan gas","2","true"
"EXP.6.a.2","minyak mentah ekspor","3","true"
"EXP.6.b","ekspor jasa","1","true"
"EXP.6.b","pendapatan jasa luar negeri","2","true"
"EXP.6.b","wisatawan mancanegara","3","true"
"EXP.7","impor barang","1","true"
"EXP.7","impor jasa","2","true"
"EXP.7","nilai impor","3","true"
"EXP.7","pembelian dari luar negeri","4","true"
"EXP.7.a","impor nonmigas","1","true"
"EXP.7.a","impor migas","2","true"
"EXP.7.a","impor barang","3","true"
"EXP.7.a","komoditas impor","4","true"
"EXP.7.a.1","impor nonmigas","1","true"
"EXP.7.a.1","komoditas nonmigas impor","2","true"
"EXP.7.a.1","mesin impor","3","true"
"EXP.7.a.1","pangan impor","4","true"
"EXP.7.a.2","impor migas","1","true"
"EXP.7.a.2","impor minyak dan gas","2","true"
"EXP.7.a.2","minyak mentah impor","3","true"
"EXP.7.b","impor jasa","1","true"
"EXP.7.b","pembayaran jasa luar negeri","2","true"
"EXP.7.b","jasa asing","3","true"
